ID,COMMENTS,KEYWORD1,KEYWORD2,KEYWORD3
288,Greater Vancouver BC December 2429 1998 A snowstorm dropped 30 cm of snow on Greater Vancouver  Winds gusted up to 80 kmh  Accidents occurred along most major roads creating major delays and ploughs were called in from outside communities to assist  A water main burst due to freezing and caused the evacuation of 10 homes for several hours  The storm lasted until December 29 causing 2 deaths in the Okanagan and 2 injuries in Vancouver,december,snowstorm,dropped
289,Peggys Cove NS September 2 1998 Swissair Flight 111 flying from New York to Zurich declared an emergency when the crew of the MD11 jet had reported smoke in the cockpit Originally the rerouted destination was Boston but the pilots were informed that the Halifax airport was closer  Around 1030 pm AT the Swissair jet disappeared from radar screens and plummeted into the Atlantic Ocean 10 km from Peggys Cove NS All 229 people on board were killed 215 passengers and 14 crew Search and rescue began immediately and continued on for 8 weeks with more than 3000 people were involved in the operation  Approximately 70 of the plane was recovered the remaining still left to be recovered Neither the flight data recorder nor the voice recorder had any valuable information pertaining to the cause of the crash Causes of the crash are still being investigated ,peggys,september,swissair
290,Greater Vancouver Area BC November 2325 1998 A powerful windstorm accompanied with rain hit the Greater Vancouver Area the night of November 23 toppling over trees and blowing shingles off rooftops Winds of 96105 kmh were reported and up to 224 mm of rain fell making this the worst storm in 10 years  A second windstorm hit the area the following day within 18 hours with winds up to 90 kmh over the Strait of Georgia and 60 kmh on land Ferries cancelled several runs November 29 200000 homes lost power and 5000 homes went without telephone lines,november,powerful,windstorm
291,Barrie ON February 13 1999 A huge accident occurred on Hwy 400 near Barrie between Hwy 89 and Dunlop St  Up to 150 vehicles were involved in the crash which spread over a 2 km stretch of highway  At least 30 people were injured 6 in critical condition  Poor winter weather and whiteout conditions were blamed for the accident,february,huge,accident
292,Southern BC FebruaryMarch 1999 Two powerful windstorms hit the Lower Mainland of British Columbia with winds exceeding 100 kmh  On February 21 power was cut to 13000 homes and waves up to 18 m caused the cancellation of many ferry runs On March 3 a windstorm forced the cancellation of many ferry routes the closing of major highways and causing power outages to 50000 customers  Half a dozen waterfront homes were flooded some destroyed by large waves Three men went missing after taking a boat for a test run in Howe Sound,februarymarch,powerful,windstorms
293,Toronto ON January 1315 1999 Less than 2 weeks after Toronto was dumped with 40 cm of snow see 1999002 another major storm dumped 78 cm of snow on the city bringing the total to 118 cm The storm shut down parts of the citys transit system and left thousands stranded  An estimated 14 million commuters were unable to use public transit Pearson airport cancelled 70 flights and delayed others schools were also closed  Mayor Mel Lastman declared a second snow emergency and called in the military to help with snow cleanup and city protection More than 430 soldiers set up residence in Toronto  Brawling between commuters ensued January 13 when the subway shut down  Snowblowers from all over Ontario and even PEI were called in to help  At least 2 deaths occurred in Southern Ontario Other areas that were affected were ChathamKent region which also called in for military assistance  The storm affected virtually all 71 million residents of Southern Ontario and continued east on January 15 to wreak havoc on the Maritimes,january,dumped,cm
294,Taylor BC January 25 1999 The town of Taylor BC under a State of Emergency was completely evacuated following a series of gas explosions at the Solex Gas Liquids plant on January 25  Many of the injured were firefighters inside the plant when it exploded  Residents were led to the nearby town of Fort St John until the disaster had ended  The explosion sent up a wall of flames 60 m high  This was the third incident involving Solex in 12 months The Salvation Army assisted the evacuees,january,state,emergency
295,Southern British Columbia January 29 1999 A fierce windstorm lashed southern BC knocking out power to at least 70000 customers after winds toppled trees and power lines  The central Fraser Valley was hardest hit with winds in excess of 100 kmh reported  Ferry services in Victoria were cancelled due to the windstorm  Although the bulk of the storm ended January 29 heavy winds forced the cancellation of the Nanaimo ferry on February 1,january,fierce,windstorm
296,Terrace BC February 11 1999 A record snowfall of 110 cm fell in one day at the TerraceKitimat airport on February 11 almost surpassing the Canadian record of 118 cm in 1974 at Lakelse Lake  The airport and local schools were closed along with Highway 16 between Terrace and Prince Rupert and Highway 37 between Terrace and Kitimat Further north Highway 37A between Stewart and Meziadin was closed because of an avalanche in the Bear Pass,february,record,snowfall
297,British Columbia March 1  July 30 1999 Above average springrunoff brought a freshet flood to such areas of British Columbia as Terrace Kitimat 100 Mile Kamloops Prince George and Clearwater Severe erosion damages washed out trails roads and culverts heavy rain landslides and damages to bridges were also experienced,march,july,average
298,East of Lake Winnipeg MB March 5 1999 Forests in Ontario and Manitoba were consumed by this event,march,forests,consumed
299,Melita MB April 1999 Melita Manitoba was threatened by the largest flood in the area since 1976  The Souris river outflow rose to 1698 cubic ms of water compared to its normal outflow of 425 cubic ms  The Souris river spread to at least 2 km wide at its peak flooding and almost topped the makeshift dikes  The flood washed out roads and damaged bridges in several rural municipalities and made over 800000 hectares of farmland unseedable this year Both provincial and federal aid was administered in the form of deadline pushbacks and financial assistance,april,threatened,flood
300,Southeastern Saskatchewan AprilJune 1999  Heavy rainfall and flooding over the spring proved to be very costly for Saskatchewan farmers  Due to all the excess water farmers were only able to seed a portion of the acres they had planned to resulting in substantial economic losses Highways and provincial municipal and private properties of the region were also damaged,apriljune,heavy,rainfall
301,Thamesville ON April 23 1999 A Via Rail train ploughed into 4 stationary freight tank cars near Thamesville ON killing its 2 engineers  Dozens of passengers were quickly evacuated from the train which was carrying 5 crew and 180 passengers  The cause of the crash was a rail switch left in the wrong position which forced the Torontobound train to veer off the main track,april,rail,train
302,La Ronge SK AprilMay 1999 Firefighters battled a Forest fire that caused the evacuation of the town of La Ronge and destroyed 8 buildings  The fire lasted for about a week  The fire stretched for 8 km2 and it took 248 firefighters supported by water bombers to extinguish it,aprilmay,firefighters,battled
303,Beardmore ON May 1999  There were 60 fires burning in the province  A 50540 ha fire forced 300 residents from Beardmore to move to Geraldton on May 4  Another 17000 ha fire forced the evacuation of the Bearskin Lake First Nation 375 residents and Pic Mobert First Nation 400 residents on May 6  The fires forced the closure of sections of Highways 11 and 17  The evacuees were allowed to return home on May 8  The Canadian Forces provided humanitarian assistance in Geraldton and Bearskin Lake,fires,burning,ha
304,Burwash Landing YT June 1222 1999 A Forest fire caused the evacuation of 69 residents and tourists from the community of Burwash Landing  The fire reached the town on June 13 destroyed 6 houses and caused extensive damage to other buildings Residents were allowed back to the town on June 19 Over 100 firefighters fought the blaze The Alaska highway a major tourist route was shut down between Beaver Creek and Haines Junction  The fire burned 3200 hectares of land and was put out on June 22,june,forest,fire
305,British Columbia June 1625 1999  Flooding on the Skeena in the northwestern part of BC closed roads and highways and forced 30 people from their homes in Old Remo on June 18 Other cities affected included Hazelton Usk Terrace and Kitimat  The South Thompson river rose until June 25 and caused only localised flooding  The Clearwater river in central BC forced 88 people from their homes in Clearwater and Barriere on Sun June 20  The Fraser river peaked just below 1997 flood levels of 65 m and caused low lying areas to flood until June 25  All the flooding is blamed on the high snowfall of the previous winter,june,flooding,skeena
306,Kenora ON June 1819 1999  Heavy rains from an intense storm resulted in 144 mm of precipitation falling in 18 hours on the town of Kenora on June 18  A State of Emergency was declared on June 19  The storm caused 3 mudslides the flooding of a dozen houses backup of sewers with raw sewage pouring into the streets rivers and lakes and damage to 200 graves at the Kenora cemetery  A portion of the TransCanada highway was washed out causing over 1 million dollars in damage,june,heavy,rains
307,Saskatchewan June 21 1999 Stormy weather spawned heavy rain and a tornado  The storm caused extensive damage to roofs and structures due to high winds in Moose Jaw Regina and Saskatoon  A number of fires were sparked from lightning including one which hit a longterm care home in Alingly 30 km northwest of Prince Albert,june,stormy,weather
308,Badger NL June 28  July 1 1999 A 6500 ha Forest fire forced almost 1000 people in Badger to leave their homes when the fire came within 250 m of the town  Residents returned home on July 1,june,july,ha
309,Clearwater AB July 45 1999  About 62 cm of snow and 122 mm of rain fell starting on July 2  Flooding forced more than 300 residents of Clearwater to flee July 4 The flooding destroyed 100 km of roads and several bridges in central Alberta The North Saskatchewan river peaked at 845 m just shy of the flood level,july,cm,snow
310,Drummondville QC July 6 1999 A tornado went through the city of Drummondville ripping roofs from 20 houses and injuring a number of people One child was killed as a tree collapsed on his tent while he was camping  In total 60 homes were damaged and 200 people were forced to flee from their homes The tornado first hit Berthierville then skipped across the river and headed southeast to Drummondville At least 4000 people were without power for 2 days,july,tornado,ripping
311,Across Toronto Canada and internationally July 16 1999  During regular maintenance at the Bell Canada Switching Station a repairman dropped a wrench into highvoltage equipment resulting in a fire that disabled the switch and brought down at least 113000 telecommunications lines across Toronto Canada and internationally  Confusion between various technical and procedural failsafes prevented service from being restored for about 12 hours,july,regular,maintenance
312,Calgary AB August 9 1999  A series of explosions at Hub Oil a Calgary oil recycling plant caused a fire that blazed for 10 hours  About 2000 residents from the nearby neighbourhood were evacuated until August 10 since the fire released oily toxic smoke into the atmosphere,august,series,explosions
313,Windsor ON September 3 1999  Dense fog and high speed are blamed for a massive car pileupaccident on Hwy 401 near Windsor At least 40 vehicles collided including transport trucks vans and cars resulting in seven deaths and 33 injuries  The intensity of the fire which caused the roads asphalt to melt and the fire damage which destroyed many of the vehicles made it impossible to fully understand how the collisions occurred  At least five separate accidents occurred blocking both sides of the highway,september,dense,fog
314,Prince Edward Island September 7 1999  More than 200 mm of rain fell in a short period of time during a severe rainstorm  Flash flooding occured throughout the province,september,mm,rain
315,Balmoral and Val dAmour areas in Restigouche County NB September 7 1999 A thunderstorm resulted in flash flooding erosion and open water flooding Roads and bridges were damaged The thunderstorm brought 90 mm of rain in a time period of two to three hours,damour,september,thunderstorm
316,Maritime Provinces September 23 1999  Record 1day rainfall was caused by the remnants of tropical storm Harvey and Hurricane Gert  Oxford NS was flooded when 2 nearby rivers overtopped their banks after receiving 200 mm of rain in one day  A seniors residence of 30 people and 15 families were evacuated from Moncton NB which received 160 mm of rain  A number of bridges and roads were washed out in the region In Newfoundland 10 m whitecaps smashed the breakwater to pieces at Lords Cove and destroyed a number of buildings Wharves were also destroyed in St Brides and Plancentia Bay NF,september,record,rainfall
317,Vancouver and Southwestern BC September 24 1999  Approximately 100000 people were left without power when a powerful windstorm rocked Vancouver and the surrounding area  Winds gusting up to 91 kmh hit the Vancouver area and winds up to 115 kmh hit Victoria This storm broke the record for the month for highest wind gusts By September 27 at least 4000 people were still without power in Surrey White Rock and Delta BC,september,approximately,people
318,Little Saskatchewan First Nation Reserve MB October 1999  A mysterious toxic mould that forced 170 people from their homes until at least March 2000 is stubbornly hanging on and frustrating fedup residents  100 people are still living in construction trailers without kitchens and bathrooms on the reserve 250 kilometres north of Winnipeg The mould which band officials believe is caused by a nearby dam is so severe several houses need to be destroyed,october,mysterious,toxic
319,Glacier National Park BC December 7 1999  One skier was killed and four others injured after being swept up in a wall of snow that rumbled down a mountain in BCs Glacier National Park The 400metrewide slide occurred on the west shoulder of Mt MacDonald in a popular backcountry skiing area,december,skier,killed
320,StHilaire QC December 30 1999  Two trains collided when the eleventh wagon of the Ultratrain derailed and hit an oncoming train The UltraTrain is a convoy of 68 wagons in four sections of 17 wagons linked by hoses  It is about one kilometre long and acts as a pipeline on rail between StRomuald and Montreal  Due to the petroleum products it was carrying a series of explosions were set off and black smoke was left in the air  Two train operators were killed while 1400 people were evacuated from the towns of MontStHilaire Beloeil and SteMadeleine  The evacuees were allowed to return home the next day,sthilaire,december,trains
322,Maritime Provinces January 1722 2000  An intense storm hit the maritimes for 6 days Up to 70 centimetres of snow fell in some areas and temperatures plummeted to A40 degrees Centigrade with the wind chill  Flooding caused extensive damage to private property and public infrastructure in Newfoundland New Brunswick and PEI Wind gusts hit 120 kilometres per hour  Cape Breton Shediac New Brunswick and PEI were hit especially hard by the storm as well as areas along the Gulf of St Laurence and the Northumberland Strait in New Brunswick,january,intense,storm
323,Passmore BC April 1314 2000  Two mudslides slid 320 metres down a mountainside totalling about 150000 cubic metres of dirt rock and trees  The slides buried the highway just south of Passmore in the Slocan Valley  The mudslide toppled power lines leaving about 4000 residents without electricity and long distance phone service  No one was injured in either slide,april,mudslides,slid
324,Southern Ontario April 2021 2000  The Windsor area registered 95 mm of rain in a 24hour period and the storm dumped almost 70 mm of rain on the London area Sarnia got 50 mm while 40 mm fell on the Toronto area  Sewers were backed up and roads washed out and many short power outages occurred  One child suffered injuries in Toronto due to violent winds which gusted up to 80 kmh,april,registered,mm
325,Pine Lake AB July 14 2000  A tornado hit Pine Lake at 300 kilometres an hour killing 12 people and injuring more than 140  Close to onethousand people were displaced from a campsite as their recreational vehicles were damaged,july,tornado,hit
326,Chetwynd BC August 1 2000  An oil pipeline break released approximately 1 million litres of crude oil into the Pine River causing extensive fish kill in the Pine River  The wells that supply drinking water to some of the farms located along the river have been contaminated  The Pine River water intake was turned off to avoid potential water system contamination,august,oil,pipeline
327,Walkerton ON May 19  July 14 2000 E coli O157H7 and Campylobacter jejuni bacteria contaminated Walkertons drinking water supply through Well 5 sickening more than 2300 people and killing six  The primary contamination source was manure spread on a farm near Well 5  Contributing factors to this disaster as identified by the Report on the Walkerton Inquiry included failure to use continuous cholorine and turbidity monitors improper operating practices at the Walkerton Public Utilities Commission and the provincial governments budget reductions to the Ministry of Environment,july,coli,oh
328,Vanguard SK July 3 2000  The Village of Vanguard and seven surrounding municipalities experienced a severe flood causing extensive damage to private property and public infrastructure More than 333 mm of rain  equivalent to the areas annual rainfall  fell on the area in less than 10 hours Roads were closed basements flooded and two bridges were washed out Nine families were forced from their homes due to flooding  Residents were also advised not to drink the water for two weeks because the villages water treatment plant and sewer system were submerged during the flood No deaths or injuries were reported,july,experienced,severe
329,Southern Manitoba July 714 2000   Heavy rains occurred throughout July causing major problems in some areas  On July 7 between 80 100 millimetres of rain fell in a four hour timeframe washing out roads and flattening crops  Winds reached almost 125 kmh and lightning strikes reached up to 1000 hits an hour  The prolonged rainfall resulted in saturated soil and overland flooding across the province with reports of flooded basements blocked drainage systems and backedup sewers,july,heavy,rains
330,Eastern and Northern Coastline of New Brunswick October 29 2000  Extensive damage occurred during a severe storm surge with winds in excess of 130 kmh  Private property businesses and public infrastructure were damaged along the eastern and northern coast of New Brunswick  The emerging shellfish aquaculture industry which includes mussels oysters and clams was also greatly affected,october,extensive,damage
331,Sydney NS November 211 2000  Heavy rains hit Cape Breton and Victoria County for nearly ten days causing flooding and damages to homes and businesses  Almost 100 millimetres of rain fell in a 24hour period flooding streets and forcing the evacuation of 200 families  One woman was trapped in her car and suffered injuries when a massive culvert collapsed due water pressure  A boil order was in effect for a week for 1000 residents in Donkin and at least 2 weeks for the 30000 residents of Glace Bay Reserve Mines and Dominion,november,heavy,rains
332,Rogers Pass BC November 27 2000  A bus carrying tourists from Taiwan crashed headon with a transport truck in a tunnel on the TransCanada Highway killing six and injuring 21  The accident happened in the 316metre Lanark snowshed tunnel closing the highway for about 14 hours  The transport truck was empty at the time of the accident,november,bus,carrying
333,Quebec February 10 2001 Freezing rain heavy snow and wind caused road accidents and homelessness Six died in weatherrelated motor vehicle accidents,february,freezing,rain
334,Southern Manitoba April 2001  Southern Manitoba suffered significant losses during spring flooding  Highway infrastructures businesses and private and public properties were extensively damaged,april,suffered,losses
335,Peace River area BC June 2001  The region was subjected to many intense precipitation events  Increased tributary levels combined with the spring freshet caused the oversaturation of the soil and surface runoff  This in turn triggered several landslides that cutoff highways  Property and infrastructure damage was extensive Pink Mountain and Halfway River were both affected,june,subjected,intense
336,Morley Chapple Dawson Emo Lake of the Woods La Vallee Rainy River Fort Frances ON July 31 2001  A severe summer storm hit eight municipalities and two rural areas in northwestern Ontario  These were declared disaster areas and the damages were covered by the Ontario government  Effects of the storm include fallen trees washed out roads tossed boats and broken docks,july,severe,summer
337,Northeast and Central British Columbia July 2001  A severe fiveday rainstorm caused flood damage to 100 homes and to critical infrastructure  More than 200 mm of rain fell  Roads and bridges were washed out businesses and public and private properties were damaged two trains derailed and people were temporarily stranded,july,severe,fiveday
338,New York City NY USA September 11 2001 Twentyfour Canadians were killed when terrorists crashed two commercial airliners into the towers of the World Trade Center One Canadian was aboard each of the two hijacked aircraft The other 22 Canadians were among the 2 823 people killed in the subsequent collapse of both towers,september,twentyfour,canadians
339,Southern coast of Newfoundland September 19 2001 Tropical Storm Gabrielle High tides strong winds and recordbreaking precipitation hit the southern coast of Newfoundland particularly the Avalon Peninsula Provincial municipal and private properties were greatly affected Basements streets parks schools and shopping malls were flooded Power outages affected most of the province Conflict arose between StJohns residents and the municipality over the inadequate sewer system,september,tropical,storm
340,Brookdale MB April 14 2002  A rupture occurred on the 914mm natural gas transmission Line 1003 main line of TransCanada Pipelines 2 km from the village of Brookdale Manitoba  There were no injuries damage or fatalities noted in the area Approximately 100 people within a 4 km radius were evacuated by the RCMP  On April 25 2002 TransCanada completed the repairs and Line 1003 was fully restored to normal service on July 5 2002 ,april,rupture,occurred
341,British Columbia May 2002  High snowpack levels rapid melting and heavy rainfall caused severe runoff and flooding in areas of BC except Vancouver Island and the Central Coast The spring freshet caused significant damage to private properties public transportation corridors and recreation facilities,snowpack,levels,rapid
342,NotreDameduLac QC May 14 2002 A fire destroyed lAbattoir du Breton located in a small community in eastern Quebec  Of the 3200 residents 1700 were evacuated due to their proximity to the abattoir a 15 kilometre radius A total of 2600 pigs died in the fire The abattoir was the main employer in the region and 500 people lost their jobs Emergency officials were concerned about the health hazards of ammonia possibly in either the air or in the towns water system Thirty residents were again evacuated when it was proven that ammonia was leaking from the abattoir,notredamedulac,fire,destroyed
343,Northern AB and Conklin May 14  June 7 2002 The House River Fire was first spotted on May 17 2002 It burned 248243 hectares The fire was approximately 100 km north of Lac La Biche At its peak 1000 firefighters were on the fireline The task was difficult given the strong and shifting winds and minimal precipitation The fire perimeter was secured by June 7 2002 This was Albertas second largest forest fire since 1961 On May 27 the Regional Municipality of Wood Buffalo evacuated approximately 1550 people There were approximately 1300 from work camps and 250 from the community of Conklin All individuals were allowed to return on June 8 2002,june,fire,spotted
344,Montreal Lake SK May 2022 2002  Extreme burning conditions existed throughout Saskatchewan at this time  Winds gusting at 50 to 60 kmh aided the spread of fires around 48 in total mostly in grasses and brush  This specific fire was first spotted around the Bittern Lake area and was moving north towards the eastern part of the community of Montreal Lake  Approximately 130 evacuees from this community and the Montreal Lake Cree Nation were moved to Prince Albert  ,extreme,burning,conditions
345,Calgary AB May 5 2002  Fire gutted the Waterford Complex a condominium development near downtown Calgary,fire,gutted,complex
346,Attawapiskat FN ON May 2002 Approximately 1200 people were evacuated to Moosonee and Timmins following the flooding of the Attawapiskat River A municipal state of emergency was declared,approximately,people,evacuated
347,09062002 0000,,,
348,Southern AB June 11 2002  Approximately 280 mm of rain fell on the area within a few days  The heavy rain and the unusually late spring runoff caused mudslides and forced sewage into river systems and power lines were damaged in Waterton Lake National Park  A local state of emergency was declared for the areas of Pincher Creek County of Warner Village of Sterling Village of Warner Village of Foremost and the Town of Coaldale  Two hundred residents from the Blood First Nation and 150 residents from the Peigan First Nation were evacuated,june,approximately,mm
349,Southeast MB June 11 2002 Ten communities declared a state of emergency following severe flooding of homes and roads About 240 mm of rain fell causing the worst flooding southeast Manitoba had seen in 45 years Levels of the Roseau River declined for a few days,june,communities,declared
350,Kingsville ON June 21 2002 Four million pounds of styrene incinerated,june,pounds,styrene
351,Peerless Lake and Trout Lake AB June 23 2002  The Peerless Lake Complex involved three separate fires within a small area approximately 155 km north of Slave Lake These three fires forced the MD of Opportunity No 17 to evacuate approximately 600 people to Red Earth  The wild fires consumed a total of 15438 ha of forest ,june,complex,involved
352,Turnor Lake SK June 25 2002 Three hundred and fifty residents of Turnor Lake located 600 km northwest of Saskatoon were evacuated to nearby towns The fire was charged by exceptionally dry and hot weather and winds pushed the fire towards Turnor Lake Water bombers continuously dropped their payload on the fire while the town buildings and trees were showered by industrial sprinkler systems,june,residents,located
353,HawesPatuanak SK June 2830 2002 One hundred three evacuated,hawespatuanak,june,evacuated
354,Crutwell Dillon Hatchett Lake Pelican Narrows Deschambeault Wahpeton First Nation Nordell Peter Pond SK June 28  July 1 2002 Five hundred six evacuated,june,july,evacuated
355,Nemiscau region near James Bay QC July 2 2002 Of 50 forest fires burning in Quebec around this time the Nemiscau fire was the most noticeable  The fire travelled within 800 metres of the native village of Nemaska A total of 630 Chisasibi and Nemiscauregion residents were evacuated The fire was ignited by intense thunder and lightning storms and destroyed over 600 km2 of forest Consequently 6000 Quebec forestry workers were laidoff HydroQuebec disconnected its service to 500 000 people given the proximity of the fire to a major power line Smoke could be seen in most of Quebec parts of Ontario and the northeastern United States,july,forest,fires
356,Near the community of Sheshatshui and the Town of North West River NL July 3 2002  A forest fire ignited 1012 km from the community of Sheshatshui and the Town of North West River Approximately 1200 residents were evacuated to the town of Happy ValleyGoose Bay The fire burned 3km2 of forest,july,forest,fire
357,Dryden ON July 30 2002 A chlorine dioxide leak at a nearby paper mill caused 300 to 400 people to be evacuated from the immediate downwind area,july,chlorine,dioxide
358, Village of Rossport,,,
359,Montreal QC August 12 2002  Montreals worst ever water main break affected several sections of the city  The citys waterworks system that stretches 2700 km in total has some sections that are over 100 years old  Approximately 10 million gallons of water were lost before the water was turned off In the St Michel area 1300 homes were affected by flooding and interruption in hydro services Twentytwo thousand homes in the Riviere des Prairies and Montreal East areas did not have water and 40 homes were deemed uninhabitable due to severe water damage,august,montreals,main
360,Brantford ON November 16 2002  Eight train cars were derailed as a result of a collision with a van The derailed cars rolled down an embankment that adjoined a neighbourhood causing 120 people from the immediate area to be evacuated for two days There were no leaks reported but the cars contained a residue of butylene and butane,november,train,cars
361,Golden Fernie Valemount Nelson Revelstoke Durrand Glacier BC and Rogers Pass Connaught Creek Valley Okotoks Mt Terry Fox Lake Louise Rocky Mountains AB January  April 2003  Deadly avalanche season since 1970 claimed 30 lives in Western Canada  The higher death toll was in part due to unusual weather patterns brought by an El Nino winter,valemount,nelson,durrand
362,Tyendenaga Township First Nation ON February 21 2003 Two Canadian Pacific freight trains carrying hazardous materials collided derailed and exploded in Tyendenaga Township First Nation near Melrose Ontario  Two crewmembers were injured and approximately 300 people were forced to leave their homes  The township declared a state of emergency and ordered evacuation within a 2 km area of the site  ,tyendenaga,february,canadian
363,The entire town of Badger NL was evacuated when the three rivers BadgerExploits Red Indian and Badger overflowed their banks due to ice jamming The towns water supply was contaminated after the sewer system failed  Power supply was cut off to all flooded homes  Approximately 200 homes were affected by the flooding  The Canadian Red Cross local officials the RCMP and the Emergency Measures Organization were cooperating to find shelter for approximately 80 families,entire,evacuated,badgerexploits
364,Oxford and Truro NS March 31 2003 Heavy rains and snowmelt caused flooding in communities on the Atlantic coast States of emergency were declared in the towns of Oxford and Truro NS where 150 and 120 people respectively were evacuated from their homes Two people died as there car was swept off the road by flood waters in Pinehurst Nova Scotias Transportation Department has reported that the flooding has destroyed or damaged 47 bridges and has affected 200 roads See Prince Edward Island and Newfoundland entries for more information on this event,march,heavy,rains
365,Prince Edward Island March 31 2003  Both freezing rain and heavy snowfall destroyed power lines in the province Power losses were experienced in western PEI The province also experienced flooding as a result of heavy rainfall that contributed to the spring runoff See Nova Scotia and Newfoundland entries for more information on this event,march,freezing,rain
366,West Coast of Newfoundland March 31 2003 Western Newfoundland experienced flooding as a result of both heavy rain and mild temperatures Some of the communities affected include Codroy Valley Coxs Cove and Corner Brook These communities faced washed out roads as well as damaged water and sewage systems A landslide on the TransCanada Highway restricted access between Gallants and Georges Lake See Nova Scotia and Prince Edward Island entries for more information on this event,march,experienced,flooding
367,Manitoba April to October 2003 The province of Manitoba experienced 1148 wildfires during the 2003 season While the fires actually began at the end of March  damages began to affect communities in April The Thompson area was particularly affected A lightening strike near Thompson began a forest fire that was sustained through hot and dry weather Approximately 900 people were evacuated many from aboriginal comunities including 250 people from Red Sucker Lake First Nation and 92 people from Gods River First Nation were evacuated due to fires that began in July In August approximately 155 people were evacuated from Shamattawa while 250 were evacuated from Split Lake ,april,october,experienced
368,Cole Harbour Eastern Passage NS May 19 2003  A forest fire started in a bog near Cole Harbour  High winds and dry conditions helped the fire spread out of control burning 240 hectares and forcing the evacuation of 240 homes  Approximately 500 people were evacuated near Eastern Passage in northeast of Halifax  No damage or injuries reported,forest,fire,started
369,Southeastern British Columbia and Southwestern Alberta,,,
370,Norman Wells NT July 21 2003 Lightening started a fire in an on oldgrowth black spruce forest approximately 17 km from Norman Wells The fire was sustained by high temperatures and gusting winds Norman Wells declared a state of emergency About 100 people were evacuated due to thick smoke Those with respiratory problems the elderly and the young were evacuated by plane to Inuvik while others were sent to nearby communities via boat,july,lightening,started
371,The BoisFrancs ChaudiereAppalaches Beauce lOutaouais Lanaudiere and AbitibiTemiscamingue regions QC August 4 2003,boisfrancs,chaudiereappalaches,loutaouais
372,Ontario Midwest and Northeast USA August 14 2003 Approximately 50 million over 9 million in Ontario people were affected by a blackout some experiencing power outages for over 48 hours A combination of employee equipment and monitoring failures ultimately led to the blackout The initial triggering power outage was prompted by contact between sagging transmission lines and untrimmed trees in Ohio,august,approximately,people
373,Halifax NS and Charlottetown PE September 29 2003 At 0010 AST Hurricane Juan made landfall in Nova Scotia as one of the most powerful and damaging hurricanes to impact Canada  A 163 metre storm surge occurred while Juan made landfall just south of Halifax as a Class 2 hurricane Water levels reached 29 metres above chart datum which was the highest water level recorded to date at this location Winds gusted to 230 kmh in Halifax and waves outside Halifax Harbour reached a maximum height of 19 metres Extensive damage to buildings docks boardwalks and trails occurred throughout Nova Scotia and Prince Edward Island Point Pleasant Park in Halifax was decimated,september,ast,hurricane
374,Vancouver Island and Southwestern British Columbia October 1623 2003 Heavy rains resulted in major flooding particularly to Squamish and Pemberton where states of emergency were declared Flooding in the Squamish Valley Cheakamus Valley and Paradise Valley resulted in the evacuation of 700 people from those areas Another 50 people were evacuated from the Vancouver Island region Two vehicles were swept into Rutherford Creek north of Whistler One passenger survived while two died,october,heavy,rains
375,Nova Scotia February 1820 2004 A snowstorm known as White Juan hit the Maritimes resulting in recordbreaking snowfall On February 19 Halifax surpassed and almost doubled its previous snowfall record when the city received 885 cm A fourday state of emergency was in place as well as a ninehour curfew for three nights except for essential workers Thousands were left without power,february,snowstorm,known
376,South Central Manitoba March 2426 2004 A combination of spring runoff and heavy rainfall brought flooding to Manitobas SouthCentral region Some affected communities include Pembina Morris Winnipeg Selkirk and Lac du Bonnet States of emergency were declared in the rural municipalities of Franklin Tache and St Clements Twentyone people were evacuated from the Dakota Plains and Peguis First Nations More than 1000 were evacuated when the Red River overflowed,march,combination,spring
377,Attawapiskat ON May 19 2004  Due to icejam flooding in the Attawapiskat River approximately 1700 people from the  James Bay Cree First Nation community of Attawapiskat were evacuated by air to Moosonee Cochrane and Timmins  ,icejam,flooding,approximately
378,Grande Prairie AB July 8 2004 A tornado swept through the city of Grand Prairie turning over cars and causing damages to homes and businesses Environment Canada reported the tornado as a funnel cloud although a tornado advisory was in place at the time The tornado touched down at 1530 MST and passed through the citys downtown core Damages included a downed power line that caused a small fire in a hotel the destruction of a Kentucky Fried Chicken restaurant as well as numerous homes with damaged roofs doors and windows,july,tornado,swept
379,Edmonton AB July 211 2004  Severe hail and rain battered parts of Edmonton causing extensive flooding of basements and streets and forcing the evacuation of 30000 people from the worlds largest shopping mall the West Edmonton Mall,july,severe,hail
380,The Pas MB July 21 2004  Heavy rains on already saturated ground led to an overloading of  the towns joint sewage and storm drain system flooding homes in The Pas  Approximately 400 homes in the town were damaged  Dozens of people were reported sick  with intestinal and bronchial illnesses after attempting to cleanup after the flood   The costs of the damages could reach as high as 5 million,july,heavy,rains
381,Estevan SK August 10 2004  Six tank cars of a Canadian Pacific freight train were derailed and three containing anhydrous ammonia were overturned  An evacuation order was issued and approximately 150 people were evacuated from the immediate area in Estevan  There were no injuries or immediate threat to life or property,august,tank,cars
